aabasu	nombre de hombre
aadi	bueno
aadi	sí
aaga	esconderse
aaga	guarecerse
aaga	ocultarse
aakenta	estar acompañado
conser	cera
aani	bueno
aani	si
asenti	afirmación
asenti	miento
aantitl	juan garrote
aantitl	san pedro
kwee	gusano
kwee	veranito
uca	cambiarla
uca	sac convertir
apa	abrubr riencia
apa	riencia
cior	cambiarla
cior	convertir
aau	abruge antofí
desgra	maíz
pue	ciudades
pue	dtr blos
pue	monteador
pue	y ciudades
laje	gusano
tradi	ales
tradi	arhuacos
tradi	cionales
tradi	ionales
giij	wiyettala
partir	marcharse
ajgar	andar
ajgar	pasársela
ajga	echar
ajgata	atajar
ajgata	rebuscar
ajmikr	rebuscar
mar	appal cha hoy
mar	pialis
jus	loorensu
jus	uuya
looren	ra
looren	uuyamakra
looren	vg sukra
ajniko	and sigilo
ajniko	cautela
ajniko	disimulo
ajniko	nos besamos
akkeya	al
akkeya	recíprocamente
akkeya	vrbt inversamente
rrenc	presrode tar
akkwa	andar
akkwa	pasársela
aprovecha	equi dos
uste	sur
amatagkre	pron
que	mos acá
que	pavo
que	pisco
que	por acá
deman	esfuerzo
deman	una respuesta categórica
amma	usted
ammata	pron
ammayu	usted
jun	loorensu
jun	na
jun	tos
jun	uuyama
semi	secas
uti	idas como zemilla
amta	pr pron
yuggayane	dem wukkri
appet	dea devolver
appet	navidad
distin	diferenciarse
distin	guirse
indí	sorghu nas
taca	nív
pre	culo
pre	flexibles parda
pre	llantén
pre	lojkartod lisaso
pre	montaña vieja
pre	nón a saawiri
awat	aturdidamente
awat	pasmadamente
provisio	para una empresa
los	baile
los	barbulito fa blanco
los	bonguita ceiba pentandra
los	bres cuyos
los	bres de árboles
los	buuruganta
los	buññukwi
los	carretico aspidosperma polyneuron
los	conju pokkre
los	cucaracha
los	dedos del pie
los	delgada
los	ef
los	guayacancito bulnesia arborea
los	ikkadikra
los	intestinos
los	jukkatutikkwi
los	juventud
los	kajwaruunisa
los	kanti
los	keera
los	maíz de rmarillos
los	n cultivos
los	palma ble
los	pequeño tamaño
los	perrito
los	plantas
los	rostro
los	rujgakanta
los	sdel mundo
los	secreciones del oído
los	seragkwa
los	snovemcincius
los	sombra no humana
los	tajdikra
los	ternura
los	tobillo
los	toro
los	tuutawa
los	v g ututikkwisu
los	vg biladuggra cóccix
los	vw
los	wipproro
los	y syuniriva
los	yoorotiirini
baarbaka	barbaca
baarbaka	malva
silves	nidoscolus urens
silves	tre malachra alceifolia
bee	añña
bee	biikra
bee	dichooro
bee	dichorittu
bee	intg dónde
bee	kwitta
mor	beekara gutteekaya
mor	ticmpo
per	animales gaggwamata
per	arriba
per	asar arriera
per	bes noctar
per	c yaau
per	colarse
per	con esivo
per	con osesivo
per	l singular
per	la comido
per	lel plural
per	maluco
per	padre ette
per	periquito
per	plural
per	specialmente europeos
per	va sonas
per	wiiyal sonas
bes	como
bes	desaparecer
bes	desvanecer
desapa	las
hue	balones
hue	comida cos uggutakri
hue	dejar
hue	significar
hue	tinajas
widegga	por donde quiera
widegga	vara de león
guái	aproximadamente en mayo
desa	significar
sen	dejar
